sample_id,timestamp,front_shock [mm],front_shock_raw [counts],String pot [mm],String pot_raw [counts],mark
211,07:13:29.155,104.758026,1847.000000,-56.779560,1323.000000,0
212,07:13:29.157,104.758026,1847.000000,-57.709419,1371.000000,0
213,07:13:29.159,104.758026,1847.000000,-58.619907,1418.000000,0
214,07:13:29.161,104.758026,1847.000000,-59.530396,1465.000000,0
215,07:13:29.163,104.758026,1847.000000,-60.460255,1513.000000,0
216,07:13:29.165,104.758026,1847.000000,-61.467602,1565.000000,0
217,07:13:29.167,104.758026,1847.000000,-62.378090,1612.000000,0
218,07:13:29.169,104.758026,1847.000000,-63.249832,1657.000000,0
219,07:13:29.171,104.758026,1847.000000,-64.179695,1705.000000,0
220,07:13:29.173,104.758026,1847.000000,-65.109550,1753.000000,0
221,07:13:29.175,104.758026,1847.000000,-66.058784,1802.000000,0
222,07:13:29.177,104.758026,1847.000000,-66.891785,1845.000000,0
223,07:13:29.179,104.758026,1847.000000,-67.802269,1892.000000,0
224,07:13:29.181,104.758026,1847.000000,-68.693390,1938.000000,0
225,07:13:29.183,104.686417,1848.000000,-69.448898,1977.000000,0
226,07:13:29.185,104.758026,1847.000000,-70.320641,2022.000000,0
227,07:13:29.187,104.758026,1847.000000,-71.153641,2065.000000,0
228,07:13:29.189,104.758026,1847.000000,-71.889778,2103.000000,0
229,07:13:29.191,104.758026,1847.000000,-72.625916,2141.000000,0
230,07:13:29.193,104.758026,1847.000000,-73.400803,2181.000000,0
231,07:13:29.195,104.758026,1847.000000,-74.098198,2217.000000,0
232,07:13:29.197,104.758026,1847.000000,-74.776222,2252.000000,0
233,07:13:29.199,104.758026,1847.000000,-75.434868,2286.000000,0
234,07:13:29.201,104.758026,1847.000000,-76.132263,2322.000000,0
235,07:13:29.203,104.758026,1847.000000,-76.790916,2356.000000,0
236,07:13:29.205,104.758026,1847.000000,-77.430191,2389.000000,0
237,07:13:29.207,104.686417,1848.000000,-78.030731,2420.000000,0
238,07:13:29.209,104.758026,1847.000000,-78.650635,2452.000000,0
239,07:13:29.211,104.758026,1847.000000,-79.193054,2480.000000,0
240,07:13:29.213,104.829628,1846.000000,-79.871078,2515.000000,0
241,07:13:29.215,104.614815,1849.000000,-80.374748,2541.000000,0
242,07:13:29.217,104.758026,1847.000000,-80.994659,2573.000000,0
243,07:13:29.219,104.758026,1847.000000,-81.575821,2603.000000,0
244,07:13:29.221,104.686417,1848.000000,-82.137611,2632.000000,0
245,07:13:29.223,104.758026,1847.000000,-82.660652,2659.000000,0
246,07:13:29.225,104.758026,1847.000000,-83.125587,2683.000000,0
247,07:13:29.227,104.758026,1847.000000,-83.706749,2713.000000,0
