front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,t
18.111708,90.07951113,11171.11424,27.106419,144.3932145,10031.80352,137.506
45.70105,77.33591399,18240.678,57.931908,34.54722753,19097.99918,137.506
1.488634,523.3746444,2810.706667,2.70209,623.3039609,2423.968858,137.506
18.062088,101.6134425,-9064.818811,27.171635,102.1756165,-9832.467343,137.508
45.452946,-222.980779,-10418.1227,58.037159,-290.4298913,-12536.44184,137.508
1.538255,-49.60183768,-6963.151259,2.942276,-31.47560091,-7970.965734,137.508
45.15522,-262.1996441,10942.09249,58.510807,-335.4934448,13849.65702,137.51
1.488634,-400.0100457,-1862.238065,2.70209,-496.1615801,-1327.183683,137.51
18.062088,-148.6272134,11604.86408,27.236855,-11.77190317,8928.420233,137.51
18.161329,243.2687565,20132.98914,24.693356,218.2337625,22883.27422,137.511
0.942801,492.7556332,-6005.427226,2.88223,463.9222322,-7796.726294,137.512
44.361282,681.0489178,-766.8714219,59.405479,696.1163728,1323.123497,137.512
18.111708,-56.43098749,-7010.574172,27.236855,-183.9776206,-4052.239837,137.512
35.032509,39.43567916,-6736.443357,27.562944,104.4551092,-3190.035524,137.513
43.567345,-18.34480998,-15257.62695,60.300144,146.3076763,-17032.00571,137.514
0.843559,-416.3624753,-11802.65459,3.422647,-322.074658,-13613.22089,137.514
18.111708,-105.4024688,-1762.76366,27.236855,84.25208642,-3331.349324,137.514
42.773403,-589.6498514,6852.109767,61.405327,-687.2019728,6954.233636,137.516
18.012466,-263.6406216,19309.43928,27.236855,-481.3686359,18222.0434,137.516
1.488634,74.08373848,19891.2451,3.182462,71.19778135,28005.0565,137.516
18.062088,332.8740379,-6243.701632,27.171635,480.3868475,-7926.39317,137.518
1.439012,509.884939,-1268.866737,3.422647,744.7780872,-1621.955198,137.518
42.12833,583.6958596,-384.0147086,62.352623,848.973384,-902.1264569,137.518
39.10144,-48.9223042,-4399.970466,54.621319,-70.870862,-5143.002797,137.519
41.68174,-147.7616258,-17798.82895,63.247288,-174.3038079,-25564.81492,137.52
0.694696,-497.2010951,-1014.398904,3.362601,-582.2388172,-7350.415175,137.52
18.161329,-295.7218251,-7721.925175,27.36729,-478.5637712,-14487.70869,137.52
18.111708,-59.13088178,15869.50515,27.171635,-277.4770579,23594.32993,137.522
41.185528,271.339219,9359.768998,64.036705,210.7804569,14873.05974,137.522
0.992422,420.0184951,-4391.873333,2.101626,538.0150976,-2756.927762,137.522
42.872646,-328.1268641,-5726.66951,47.350086,-487.7150981,-3213.125058,137.523
1.687118,-128.5107647,-718.2918182,2.521951,-69.84444112,2163.034126,137.524
40.937424,59.67260002,-5519.626807,64.785522,285.6296699,-6581.917319,137.524
18.111708,36.8293289,722.9180886,27.236855,265.5284516,894.8503263,137.524
1.190907,-462.8923583,2108.608159,2.88223,-626.3204716,838.9836597,137.526
40.639698,-94.65604779,19378.83965,64.845047,-264.6642582,22840.5117,137.526
18.161329,109.4864866,1896.937576,27.171635,159.7702462,2378.429231,137.526
1.935224,466.5165916,13088.87196,3.122415,697.5928348,21011.34298,137.528
18.062088,589.1119923,-10944.40636,27.106419,891.5744228,-16706.75443,137.528
40.590076,228.74297,-14553.21527,64.845047,388.5378767,-22986.70182,137.528
46.296505,213.542403,-5744.020653,70.559166,346.2549537,-9286.690093,137.529
18.111708,-455.9899614,-5748.647133,27.171635,-752.7246733,-8913.215012,137.53
40.68932,-472.6922477,-14478.03133,64.964096,-769.6539091,-21478.7021,137.53
1.091665,-542.2485429,6746.852075,1.921486,-857.1090396,11580.60732,137.53
18.111708,25.90168407,12588.03277,24.758574,86.74105377,20283.25044,137.531
18.210951,397.3506314,2813.019767,27.236855,624.5953631,5063.636783,137.532
40.68932,74.67647504,-3762.646084,64.785522,169.9452938,-5925.555548,137.532
1.488634,-89.27369046,8830.015105,3.72288,-49.32077343,12450.49357,137.532
40.738937,-153.3695775,-10975.63629,64.487915,-244.6298655,-18215.65375,137.534
18.111708,-142.1508449,-2295.988765,27.106419,-279.719216,-5674.905385,137.534
1.141286,-256.1656541,9977.431119,4.983855,-431.8716081,13601.2048,137.534
18.161329,305.0330334,3441.092448,27.302074,419.2766023,5618.40303,137.536
42.525299,-122.057535,2147.934872,62.721012,-203.8982376,1853.794592,137.536
1.33977,213.9385241,15683.28019,4.023112,277.4715618,23208.31044,137.536
18.111708,297.2158274,-2178.008159,27.171635,349.5011859,-2825.927296,137.538
42.823025,282.9917012,-16056.8845,62.247364,349.5075394,-21044.78564,137.538
1.439012,256.478919,-13765.52256,2.281765,342.2682306,-18311.46974,137.538
39.597652,-40.95860791,-5919.833869,54.299335,-37.03605414,-7019.42014,137.539
42.872646,-802.7468895,-2852.346434,62.247364,-1091.896744,-3220.995431,137.54
18.062088,-589.9004251,13929.76981,27.236855,-697.762421,14575.25974,137.54
0.793938,79.62610326,12869.10364,3.842973,62.21559815,15753.02632,137.54
1.240528,-20.36992306,8983.851655,3.002322,-180.8560204,11642.53089,137.542
18.111708,880.6630435,5986.920839,27.171635,1068.209126,8721.474126,137.542
43.021511,648.5349083,6611.522984,62.247364,814.0173508,11651.04853,137.542
43.269615,457.3972475,-18620.06438,47.412045,603.7335452,-22519.88303,137.543
18.111708,-234.2872216,-23191.22273,27.171635,-276.1092858,-28640.30685,137.544
43.517723,-773.7308805,-6291.125361,62.142113,-951.9177025,-7171.053776,137.544
1.637497,-310.5146614,-3899.132984,2.281765,-304.4154439,-4540.487179,137.544
44.361282,-68.50085229,6580.292075,61.984226,-22.9071339,8192.996107,137.546
0.992422,-184.5389202,15580.33671,3.362601,-335.6226903,17491.57967,137.546
18.161329,118.2414794,-1425.01704,27.302074,194.6134557,-1637.305105,137.546
45.105598,236.5051649,2597.87979,61.931602,347.2743222,3706.859301,137.548
1.042044,-122.8325205,-6948.113473,3.362601,-155.5751669,-10912.5965,137.548
18.111708,179.940169,-2861.599907,27.302074,240.8538739,-4491.319324,137.548
46.643852,-405.7278527,-9616.550023,66.690231,-572.5782749,-13028.08205,137.55
0.992422,-478.0428341,12430.72697,2.101626,-679.7255124,17676.52888,137.55
18.161329,-91.91956037,22771.35247,27.236855,-154.4554306,31601.69086,137.55
18.161329,128.6428705,2552.769907,24.56292,190.9187686,4424.166667,137.551
1.33977,678.1562805,-2184.948648,3.482694,972.7440159,-2248.933077,137.552
18.161329,701.9393279,-1138.162587,27.171635,1012.448172,-1297.805455,137.552
46.296505,148.2590099,-21527.93186,66.57119,239.2495969,-30591.44406,137.552
46.296505,-411.6403356,-2211.552401,66.333099,-554.2493319,-3665.630746,137.554
18.161329,-347.6765246,-10422.74872,27.236855,-510.2710727,-15242.59888,137.554
1.33977,-799.3752264,2534.262797,4.143205,-1116.965344,3454.059371,137.554
18.062088,-194.3185446,10686.46916,27.236855,-271.2540421,14936.22981,137.556
1.587876,321.3131429,23586.80415,3.302555,476.1587124,31393.09462,137.556
46.246883,831.9297065,4077.259883,66.21405,1140.4234,4820.613357,137.556
0.744317,226.2927528,-823.5492541,3.963066,272.5129241,-1226.490862,137.558
46.296505,99.99794256,-11087.83406,66.095009,95.00500365,-14896.4307,137.558
18.062088,-99.58056344,436.0639161,27.171635,-173.5855375,1338.191002,137.558
40.193108,86.0600454,-12991.71179,53.548046,102.9443232,-17557.3666,137.559
1.290149,199.2690565,-2890.517506,3.062369,287.9745862,-2961.066946,137.56
46.197262,-433.4956524,-2744.776037,65.975967,-476.0511089,-7958.039604,137.56
18.161329,180.5801866,-86.74960373,27.041201,196.3787437,-1464.167203,137.56
46.197262,-156.6120706,-6422.985012,65.975967,-340.0778118,-8627.504709,137.562
0.942801,-315.3552975,9399.096107,2.341811,-591.2114056,13845.0004,137.562
18.161329,-457.0993769,8429.806737,27.041201,-704.5168889,14628.54336,137.562
43.914692,489.1747775,6602.269254,47.845745,703.0678608,12073.79072,137.563
0.992422,337.1325017,-3950.026131,4.443437,557.146922,-2827.718601,137.564
18.111708,208.8347416,7777.445268,27.171635,431.8864195,11883.48317,137.564
46.14764,57.94142517,-16258.14583,65.975967,196.2569123,-22838.82998,137.564
46.197262,-33.11737784,-7893.112098,65.916443,-0.766816395,-12846.22303,137.566
1.488634,-86.02244967,-2840.779744,2.762137,-235.6213565,-8402.219441,137.566
18.210951,-471.6551003,-16547.31326,27.106419,-652.6446932,-21813.07427,137.566
46.098019,-644.2697078,10005.19051,64.089333,-862.2125012,13542.14186,137.568
1.33977,-1.590431643,16479.06956,3.602787,22.96649301,21926.15172,137.568
18.210951,206.3295875,8782.591585,27.106419,264.9824253,12040.29392,137.568
18.111708,52.83860439,-10412.338,27.236855,39.3240028,-14780.89578,137.57
1.190907,-85.55111488,9860.607273,3.602787,-136.781163,13065.90186,137.57
46.197262,342.1283706,8744.420932,63.036777,418.8257201,12302.45051,137.57
18.210951,132.0193753,-13730.82317,24.432486,156.3331596,-17793.9465,137.571
18.062088,-185.4121832,3582.205804,27.302074,-233.4309506,5317.379557,137.572
1.240528,-214.7597558,9291.524825,2.341811,-261.3845881,12546.36284,137.572
46.296505,123.3539905,720.6042424,62.931526,160.3258306,1255.65317,137.572
18.062088,735.2995772,-589.9020979,27.106419,974.962324,-919.0730769,137.574
0.843559,78.29878811,-1792.837949,2.70209,99.84335831,-3056.017226,137.574
46.44537,56.30568256,-7570.401748,62.826271,73.92888547,-9396.795221,137.574
46.494987,-25.8197873,-16217.66212,62.77364,-44.38854608,-21793.12664,137.576
18.111708,-140.3184771,5377.356737,27.106419,-169.569511,6429.218415,137.576
1.290149,-517.5083734,4352.547692,3.242508,-675.6713657,5402.424732,137.576
46.594231,-227.2421608,-70.55648019,62.615761,-339.6998384,64.80759907,137.578
