front_shock [mm],front_shock [mm]_vel,front_shock [mm]_acc,front_shock [mm]_norm,rear_shock [mm],rear_shock [mm]_vel,rear_shock [mm]_acc,rear_shock [mm]_norm,t
19.302616,71.40501456876495,1087.2671328671877,0.1135448,25.321419,151.20959794094904,950.3855477856323,0.15346314545454545,149.61
19.848448,78.31418379953416,1054.884195804263,0.11675557647058825,25.706055,152.54209125874223,657.4962237763084,0.15579427272727273,149.612
20.245417,82.94087090132146,735.6443822844467,0.11909068823529412,26.667646,145.94412599067704,285.77342657350346,0.16162209696969698,149.614
20.692007,87.4712097125103,675.496596736657,0.12171768823529412,27.372812,132.05800602175674,194.84121212127866,0.1658958303030303,149.616
20.989733,85.8576907536912,573.7083449884121,0.12346901764705882,28.013874,140.4219670551679,390.9918881119738,0.16978105454545456,149.618
21.535566,86.3261314296821,425.65277389283983,0.1266798,28.462616,151.94973562548626,749.6038228438993,0.17250070303030304,149.62
21.982157,92.13644215229266,675.4921212121753,0.12930680588235294,29.424204,150.36324996115093,686.7819114219892,0.17832850909090908,149.622
22.379126,93.83862474747554,957.7211188811762,0.13164191764705882,30.252501,158.47610159285244,1303.6829836830766,0.1833484909090909,149.624
22.875336,102.3786860139868,754.1472261072886,0.1345608,31.257952,164.80620800310885,1344.3989743590537,0.18944213333333332,149.626
23.470789,104.55513313908386,587.5877855478393,0.13806346470588235,31.760679,167.6683094017102,1306.1906759907688,0.19248896363636364,149.628
23.917379,110.65273220668314,518.1912354312863,0.14069046470588237,32.57761,171.2748721833733,1070.3249417250263,0.19744006060606062,149.63
24.463211,112.28177229992303,263.7254079254744,0.1439012411764706,33.583061,181.93488659673733,1607.121025641114,0.20353370303030305,149.632
25.207529,109.5019452214458,148.05790209797124,0.14827958235294117,34.588516,194.57200835275887,1728.486060606152,0.20962736969696968,149.634
25.554876,108.27394693084796,272.9763170163842,0.1503228,35.531124,208.53169343434467,1497.9237296038264,0.21534014545454544,149.636
26.199951,110.42536293706382,407.1480652681348,0.1541173588235294,36.599419,209.86420054390157,583.0421445222564,0.2218146606060606,149.638
26.696163,110.72611484071564,495.05128205137044,0.15703625294117646,37.54203,207.61723892773983,553.9784615385688,0.22752745454545453,149.64
27.241995,115.26406682206778,758.7719347320326,0.1602470294117647,38.736004,212.53864079254203,402.812587412689,0.2347636606060606,149.642
27.88707,-16.04105132090018,17812.705454545514,0.16404158823529413,39.804298,10.016465695416855,24766.906666666728,0.2412381696969697,149.644
28.532145,129.28088395493495,23665.454918415002,0.16783614705882352,40.791527,219.84158411033468,33140.586759906844,0.24722137575757577,149.646
29.127598,386.19451060606144,21389.132307692373,0.1713388117647059,41.774345,582.2104391996897,29720.73668997678,0.2531778484848485,149.648
29.822292,613.1427559829069,13343.338368298444,0.17542524705882354,43.064301,902.8507515928528,18416.24867132881,0.2609957636363636,149.65
30.516989,730.5196354312363,2401.2463403264483,0.1795117,43.985699,1075.368607692309,2559.6432634034063,0.2665799939393939,149.652
43.219994,703.6521695027204,-9068.288671328562,0.25423525882352943,62.603275,1029.106261538463,-14125.07263403244,0.3794137878787879,149.654
43.468102,538.470117909869,-19001.764289044175,0.2556947176470588,62.780159,782.9260702797224,-28684.282051281873,0.38048581212121213,149.656
43.517723,282.2639507381517,-25238.52540792528,0.25598660588235295,62.957043,402.6830210178739,-37204.84755244739,0.3815578363636364,149.658
43.666584,23.094821328672765,-25409.716456876336,0.2568622588235294,63.310814,25.647115773117548,-36791.578181818004,0.38370190303030305,149.66
43.86507,-114.50256686091586,-17660.029930069817,0.2580298235294118,63.310814,-174.2923906759894,-25367.85025641007,0.38370190303030305,149.662
44.063553,32.350081701633144,-235.96074592064542,0.2591973705882353,63.664585,45.79741406371579,164.9281118882791,0.3858459696969697,149.664
44.212418,30.817563247864655,-166.55916083902775,0.2600730470588235,63.723549,48.46138919969087,-159.43179487159068,0.38620332727272727,149.666
44.311661,27.337908197359866,-393.26871794861654,0.2606568294117647,64.077316,46.706680497282036,-280.37976689961215,0.38834736969696965,149.668
44.460522,22.533773659675262,-124.91944055930435,0.2615324823529412,64.372124,42.48264607614783,43.983776223925815,0.39013408484848483,149.67
44.609386,22.992642579644325,148.05529137541816,0.2624081529411765,64.607979,38.803981701633234,-252.89780885761866,0.3915635090909091,149.672
44.659008,27.461252214453452,175.8136130537423,0.26270004705882355,64.666931,38.8886038073058,-82.46405594386306,0.391920793939394,149.674
44.857491,28.646906216007892,268.3465734267302,0.2638675941176471,64.784859,36.78354685314923,-175.9268065266151,0.39263550909090905,149.676
44.907112,29.074839199690473,384.01510489523935,0.2641594823529412,65.020706,42.26264467754697,-109.95244755227031,0.3940648848484849,149.678
45.204842,32.542889471641274,411.77025641037835,0.26591083529411763,65.433441,42.26278648018831,109.94331002349645,0.3965663090909091,149.68
45.353703,36.30589456099608,231.33137529151645,0.26678648823529416,65.492393,41.2250919968933,153.9368764570827,0.39692359393939397,149.682
45.403324,37.973407459209284,-235.96177156162594,0.26707837647058824,65.728249,40.13913414918568,-302.36951048933406,0.39835302424242425,149.684
45.651428,37.321767754469306,-545.9482517481374,0.2685378117647059,65.905128,34.76767719502834,-214.40317016303015,0.3994250181818182,149.686
45.899536,23.14296565656707,97.16195804208837,0.2699972705882353,65.964096,29.41213783993919,764.1714685316038,0.3997824,149.688
46.048397,18.179024320126132,1475.9140326341476,0.2708729235294118,66.317856,33.71177735042784,2111.0825174826896,0.4019264,149.69
46.14764,24.995613286715184,2553.9292307693577,0.27145670588235293,66.553711,44.87413978244081,2913.7147785549823,0.4033558242424243,149.692
46.14764,43.91104324009416,3308.0760839162176,0.27145670588235293,66.553711,69.01780540015636,3479.9775291376573,0.4033558242424243,149.694
46.197262,76.97442618492823,3631.942750582857,0.2717486,66.907478,96.15455306915419,3437.1645687647833,0.40549986666666665,149.696
46.941578,108.7693682595193,3382.106200466311,0.2761269294117647,67.615021,119.13548364413475,2969.948065268225,0.40978800606060606,149.698
47.685894,125.35602408702596,3072.113100233204,0.2805052588235294,68.381523,139.42358096348266,2434.1375291377553,0.4144334727272727,149.7
48.330971,135.04312183372338,2216.180139860251,0.2842998294117647,69.089058,148.43527183372316,1181.6250815853055,0.4187215636363636,149.702
48.976044,135.3997904040424,1064.1355710957287,0.2880943764705882,69.73764,141.84499658119785,-285.3462937060831,0.4226523636363636,149.704
49.472256,135.40943620823782,-87.90815850800936,0.2910132705882353,70.379196,129.59643065268187,-599.6560372958411,0.4265405818181818,149.706
50.067711,139.27461480186594,-180.4460606059256,0.29451594705882356,71.073875,126.53521111111331,-537.0889510487395,0.4307507575757576,149.708
51.060131,140.51024444444556,-397.898648018494,0.3003537117647059,71.768555,123.55994017094133,-179.5256876455096,0.4349609393939394,149.71
51.754829,137.47205547785734,-957.7227972026631,0.3044401705882353,72.289558,125.37006083916162,-214.76139860120747,0.43811853333333334,149.712
52.399902,125.67975792540949,-1263.0816783215305,0.3082347176470588,72.810562,124.6005867132883,-217.1846153844308,0.4412761333333334,149.714
52.796871,108.15049902875103,-1207.5604662002843,0.3105698294117647,73.621025,123.0593128982141,-53.97501165480935,0.44618803030303034,149.716
53.441944,103.03230586635789,-1110.4008391607022,0.31436437647058824,74.142029,121.63126480186611,453.4143589746018,0.44934563030303026,149.718
53.987778,104.01928636363778,-259.09221445207004,0.3175751647058823,74.894592,129.1769267288289,237.5077855479467,0.4539066181818182,149.72
54.384747,105.81027521367685,83.2814918416625,0.31991027647058823,75.357712,129.7774342268857,-172.72438228419196,0.4567134060606061,149.722
54.980202,112.31649160839333,-277.6013986012658,0.32341295294117645,75.994499,128.46852641802843,-491.1944988342875,0.4605727212121212,149.724
55.674896,106.71820089355288,-458.0443822842208,0.3274993882352941,76.689178,132.0265123154636,-939.1959906757693,0.46478289696969693,149.726
55.972622,104.51468181818359,-333.12466200452764,0.3292507176470588,77.557526,120.79694413364541,-1225.2767365965483,0.4700456121212121,149.728
56.66732,102.72186045066178,-624.6030769229001,0.3333371764705882,77.904861,109.81622847708024,-1060.2820512818216,0.47215067272727274,149.73
