sample_id,timestamp,i2c_stringpot_raw [counts],i2c_stringpot [mm],mark
3012,00:51:29.122,1181.000000,1.186276,0
3013,00:51:29.124,719.000000,6.836376,0
3014,00:51:29.126,183.000000,13.391469,0
3015,00:51:29.128,3760.000000,19.738659,0
3016,00:51:29.130,3215.000000,26.403820,0
3017,00:51:29.132,2644.000000,33.386951,0
3018,00:51:29.134,2136.000000,39.599613,0
3019,00:51:29.136,1613.000000,45.995724,0
3020,00:51:29.138,1147.000000,51.694740,0
3021,00:51:29.140,727.000000,56.831196,0
3022,00:51:29.142,354.000000,61.392857,0
3023,00:51:29.144,75.000000,64.804932,0
3024,00:51:29.146,3987.000000,67.055183,0
3025,00:51:29.148,3900.000000,68.119164,0
3026,00:51:29.150,3917.000000,67.911263,0
3027,00:51:29.152,4028.000000,66.553772,0
3028,00:51:29.154,163.000000,63.728718,0
3029,00:51:29.156,478.000000,59.876377,0
3030,00:51:29.158,871.000000,55.070126,0
3031,00:51:29.160,1299.000000,49.835835,0
3032,00:51:29.162,1873.000000,42.816013,0
3033,00:51:29.164,2398.000000,36.395447,0
3034,00:51:29.166,2836.000000,31.038858,0
3035,00:51:29.168,3437.000000,23.688837,0
3036,00:51:29.170,3974.000000,17.121513,0
3037,00:51:29.172,439.000000,10.260678,0
3038,00:51:29.174,923.000000,4.341527,0
3039,00:51:29.176,1376.000000,-1.198506,0
3040,00:51:29.178,1751.000000,-5.784626,0
3041,00:51:29.180,2067.000000,-9.649196,0
3042,00:51:29.182,2328.000000,-12.841135,0
3043,00:51:29.184,2525.000000,-15.250377,0
3044,00:51:29.186,2631.000000,-16.546721,0
3045,00:51:29.188,2671.000000,-17.035906,0
3046,00:51:29.190,2641.000000,-16.669016,0
3047,00:51:29.192,2541.000000,-15.446051,0
3048,00:51:29.194,2354.000000,-13.159106,0
3049,00:51:29.196,2103.000000,-10.089463,0
3050,00:51:29.198,1795.000000,-6.322730,0
3051,00:51:29.200,1409.000000,-1.602085,0
3052,00:51:29.202,972.000000,3.742274,0
3053,00:51:29.204,461.000000,9.991626,0
3054,00:51:29.206,4040.000000,16.314356,0
3055,00:51:29.208,3517.000000,22.710464,0
3056,00:51:29.210,2927.000000,29.925959,0
3057,00:51:29.212,2412.000000,36.224232,0
3058,00:51:29.214,1906.000000,42.412434,0
3059,00:51:29.216,1399.000000,48.612869,0
3060,00:51:29.218,948.000000,54.128441,0
3061,00:51:29.220,560.000000,58.873547,0
3062,00:51:29.222,215.000000,63.092777,0
3063,00:51:29.224,4074.000000,65.991203,0
3064,00:51:29.226,3929.000000,67.764503,0
3065,00:51:29.228,3894.000000,68.192543,0
3066,00:51:29.230,3952.000000,67.483223,0
3067,00:51:29.232,28.000000,65.379723,0
3068,00:51:29.234,295.000000,62.114403,0
3069,00:51:29.236,635.000000,57.956322,0
3070,00:51:29.238,1053.000000,52.844330,0
3071,00:51:29.240,1504.000000,47.328754,0
3072,00:51:29.242,2033.000000,40.859268,0
3073,00:51:29.244,2555.000000,34.475391,0
3074,00:51:29.246,3060.000000,28.299416,0
3075,00:51:29.248,3636.000000,21.255136,0
3076,00:51:29.250,74.000000,14.724502,0
3077,00:51:29.252,590.000000,8.414001,0
3078,00:51:29.254,1081.000000,2.409241,0
3079,00:51:29.256,1494.000000,-2.641605,0
3080,00:51:29.258,1868.000000,-7.215495,0
3081,00:51:29.260,2171.000000,-10.921080,0
3082,00:51:29.262,2403.000000,-13.758359,0
3083,00:51:29.264,2571.000000,-15.812941,0
3084,00:51:29.266,2653.000000,-16.815771,0
3085,00:51:29.268,2668.000000,-16.999216,0
3086,00:51:29.270,2611.000000,-16.302126,0
3087,00:51:29.272,2486.000000,-14.773420,0
3088,00:51:29.274,2287.000000,-12.339719,0
3089,00:51:29.276,1999.000000,-8.817579,0
3090,00:51:29.278,1676.000000,-4.867402,0
3091,00:51:29.280,1263.000000,0.183445,0
3092,00:51:29.282,808.000000,5.747937,0
3093,00:51:29.284,317.000000,11.752696,0
3094,00:51:29.286,3861.000000,18.503464,0
3095,00:51:29.288,3325.000000,25.058558,0
3096,00:51:29.290,2779.000000,31.735949,0
3097,00:51:29.292,2233.000000,38.413338,0
3098,00:51:29.294,1737.000000,44.479244,0
3099,00:51:29.296,1268.000000,50.214954,0
3100,00:51:29.298,806.000000,55.865051,0
3101,00:51:29.300,441.000000,60.328876,0
3102,00:51:29.302,122.000000,64.230133,0
3103,00:51:29.304,4016.000000,66.700523,0
3104,00:51:29.306,3913.000000,67.960175,0
3105,00:51:29.308,3906.000000,68.045784,0
3106,00:51:29.310,3997.000000,66.932884,0
3107,00:51:29.312,94.000000,64.572563,0
3108,00:51:29.314,411.000000,60.695766,0
3109,00:51:29.316,767.000000,56.342007,0
3110,00:51:29.318,1205.000000,50.985420,0
3111,00:51:29.320,1672.000000,45.274174,0
3112,00:51:29.322,2184.000000,39.012592,0
3113,00:51:29.324,2731.000000,32.322971,0
3114,00:51:29.326,3250.000000,25.975782,0
3115,00:51:29.328,3790.000000,19.371769,0
3116,00:51:29.330,262.000000,12.425327,0
3117,00:51:29.332,764.000000,6.286041,0
3118,00:51:29.334,1205.000000,0.892765,0
3119,00:51:29.336,1653.000000,-4.586120,0
3120,00:51:29.338,1938.000000,-8.071570,0
3121,00:51:29.340,2229.000000,-11.630400,0
3122,00:51:29.342,2446.000000,-14.284234,0
3123,00:51:29.344,2595.000000,-16.106453,0
3124,00:51:29.346,2663.000000,-16.938068,0
3125,00:51:29.348,2663.000000,-16.938068,0
3126,00:51:29.350,2590.000000,-16.045303,0
3127,00:51:29.352,2449.000000,-14.320923,0
3128,00:51:29.354,2217.000000,-11.483644,0
3129,00:51:29.356,1930.000000,-7.973733,0
3130,00:51:29.358,1594.000000,-3.864570,0
3131,00:51:29.360,1161.000000,1.430869,0
3132,00:51:29.362,601.000000,8.279474,0
3133,00:51:29.364,127.000000,14.076330,0
3134,00:51:29.366,3706.000000,20.399059,0
3135,00:51:29.368,3121.000000,27.553408,0
3136,00:51:29.370,2590.000000,34.047352,0
3137,00:51:29.372,2078.000000,40.308933,0
3138,00:51:29.374,1560.000000,46.643894,0
3139,00:51:29.376,1098.000000,52.293995,0
3140,00:51:29.378,661.000000,57.638351,0
3141,00:51:29.380,317.000000,61.845352,0
3142,00:51:29.382,46.000000,65.159592,0
3143,00:51:29.384,3963.000000,67.348694,0
3144,00:51:29.386,3896.000000,68.168083,0
3145,00:51:29.388,3921.000000,67.862343,0
3146,00:51:29.390,4057.000000,66.199112,0
3147,00:51:29.392,196.000000,63.325142,0
3148,00:51:29.394,361.000000,61.307247,0
3149,00:51:29.396,919.000000,54.483101,0
3150,00:51:29.398,1354.000000,49.163204,0
3151,00:51:29.400,1869.000000,42.864933,0
3152,00:51:29.402,2394.000000,36.444363,0
3153,00:51:29.404,2899.000000,30.268389,0
3154,00:51:29.406,3470.000000,23.285257,0
3155,00:51:29.408,4006.000000,16.730164,0
3156,00:51:29.410,440.000000,10.248448,0
3157,00:51:29.412,953.000000,3.974637,0
3158,00:51:29.414,1377.000000,-1.210736,0
3159,00:51:29.416,1773.000000,-6.053678,0
3160,00:51:29.418,1945.000000,-8.157178,0
3161,00:51:29.420,2344.000000,-13.036810,0
3162,00:51:29.422,2536.000000,-15.384903,0
3163,00:51:29.424,2636.000000,-16.607868,0
3164,00:51:29.426,2671.000000,-17.035906,0
3165,00:51:29.428,2633.000000,-16.571178,0
3166,00:51:29.430,2528.000000,-15.287066,0
3167,00:51:29.432,2335.000000,-12.926743,0
3168,00:51:29.434,2081.000000,-9.820411,0
3169,00:51:29.436,1768.000000,-5.992530,0
3170,00:51:29.438,1403.000000,-1.528707,0
3171,00:51:29.440,934.000000,4.207000,0
3172,00:51:29.442,453.000000,10.089463,0
3173,00:51:29.444,4000.000000,16.803543,0
3174,00:51:29.446,3474.000000,23.236340,0
3175,00:51:29.448,2885.000000,30.439606,0
3176,00:51:29.450,2370.000000,36.737877,0
3177,00:51:29.452,1864.000000,42.926079,0
3178,00:51:29.454,1390.000000,48.722935,0
3179,00:51:29.456,912.000000,54.568710,0
3180,00:51:29.458,531.000000,59.228207,0
3181,00:51:29.460,191.000000,63.386288,0
3182,00:51:29.462,4057.000000,66.199112,0
3183,00:51:29.464,3929.000000,67.764503,0
3184,00:51:29.466,3898.000000,68.143623,0
3185,00:51:29.468,3963.000000,67.348694,0
3186,00:51:29.470,33.000000,65.318573,0
3187,00:51:29.472,326.000000,61.735287,0
3188,00:51:29.474,672.000000,57.503826,0
